When,Profile,Dept,CardNum
8/6/2020 10:08,0,Dept 4,1701
13/6/2020 10:16,0,Dept 4,1701
10/6/2020 9:56,0,Dept 4,1701
9/6/2020 9:49,0,Dept 4,1701
8/6/2020 9:54,1,NA,5601
11/6/2020 7:03,1,NA,5601
12/6/2020 7:06,1,NA,5601
10/6/2020 8:21,1,NA,5601
8/6/2020 7:40,1,NA,5701
10/6/2020 7:12,1,NA,5701
12/6/2020 7:34,1,NA,5701
11/6/2020 7:04,1,NA,5701
14/6/2020 7:01,1,NA,5701
14/6/2020 9:54,1,NA,6001
11/6/2020 10:07,0,Dept 4,6202
8/6/2020 8:17,0,Dept 4,6202
12/6/2020 10:29,0,Dept 4,6202
8/6/2020 7:18,1,NA,6301
9/6/2020 7:19,1,NA,6301
10/6/2020 7:17,1,NA,6301
12/6/2020 7:14,1,NA,6301
11/6/2020 7:21,1,NA,6301
8/6/2020 7:10,1,NA,6601
10/6/2020 7:10,1,NA,6601
11/6/2020 7:09,1,NA,6601
10/6/2020 8:11,1,NA,7401
9/6/2020 8:13,1,NA,7401
8/6/2020 8:06,1,NA,7401
11/6/2020 8:15,1,NA,7401
12/6/2020 8:05,1,NA,7401
8/6/2020 7:29,1,NA,8101
9/6/2020 7:35,1,NA,8101
12/6/2020 7:34,1,NA,8101
11/6/2020 7:36,1,NA,8101
10/6/2020 7:27,1,NA,8101
11/6/2020 8:33,0,Dept 4,8402
8/6/2020 8:17,0,Dept 4,8402
12/6/2020 8:08,0,Dept 4,8402
13/6/2020 8:30,0,Dept 4,8402
9/6/2020 9:06,0,Dept 4,8402
10/6/2020 7:07,1,NA,8601
11/6/2020 7:07,1,NA,8601
9/6/2020 7:04,1,NA,8601
8/6/2020 8:40,2,NA,8901
9/6/2020 8:06,2,NA,8901
9/6/2020 10:18,1,NA,9401
11/6/2020 10:06,1,NA,9401
8/6/2020 7:40,0,Dept 4,9403
13/6/2020 8:07,0,Dept 4,9403
14/6/2020 7:56,0,Dept 4,9403
10/6/2020 7:47,0,Dept 4,9403
12/6/2020 8:09,1,NA,10301
12/6/2020 9:04,0,Dept 16,10302
8/6/2020 7:10,1,NA,10501
11/6/2020 7:23,1,NA,10501
10/6/2020 7:23,1,NA,10501
12/6/2020 7:22,1,NA,10501
14/6/2020 7:32,1,NA,10501
13/6/2020 7:18,1,NA,10501
8/6/2020 7:32,1,NA,10701
10/6/2020 7:27,1,NA,10701
12/6/2020 7:28,1,NA,10701
9/6/2020 8:29,1,NA,11001
8/6/2020 8:05,0,Dept 4,11403
10/6/2020 7:42,0,Dept 4,11403
11/6/2020 7:12,0,Dept 4,11403
12/6/2020 8:10,1,NA,11601
8/6/2020 7:12,1,NA,12101
9/6/2020 7:11,1,NA,12101
10/6/2020 7:11,1,NA,12101
13/6/2020 7:17,1,NA,12101
14/6/2020 7:13,1,NA,12101
11/6/2020 7:12,1,NA,12101
11/6/2020 8:21,1,NA,12201
12/6/2020 8:29,1,NA,12201
9/6/2020 9:52,1,NA,12301
10/6/2020 9:54,1,NA,12301
11/6/2020 10:05,1,NA,12301
9/6/2020 7:05,1,NA,12601
11/6/2020 7:01,1,NA,12601
12/6/2020 7:02,1,NA,12601
12/6/2020 7:36,0,Dept 2,13474
9/6/2020 7:58,0,Dept 8,14502
12/6/2020 8:13,1,NA,14801
8/6/2020 8:33,1,NA,15001
10/6/2020 8:36,0,Dept 4,16704
14/6/2020 8:26,0,Dept 4,16704
12/6/2020 9:25,1,NA,21501
8/6/2020 9:36,1,NA,21501
9/6/2020 9:29,1,NA,21501
10/6/2020 9:30,1,NA,21501
8/6/2020 9:17,0,Dept 1,22402
10/6/2020 10:17,0,Dept 10,22602
14/6/2020 9:48,0,Dept 10,22602
8/6/2020 8:48,0,Dept 10,22602
9/6/2020 8:38,0,Dept 16,23002
12/6/2020 8:29,0,Dept 16,23002
11/6/2020 7:50,0,Dept 16,23002
8/6/2020 8:57,0,Dept 16,23002
10/6/2020 8:40,0,Dept 16,23002
