When,Profile,Dept,CardNum
27/5/2020 8:23,0,Dept 5,902
28/5/2020 8:27,0,Dept 5,902
29/5/2020 8:12,0,Dept 5,902
26/5/2020 8:36,0,Dept 5,902
26/5/2020 8:40,0,Dept 17,933
29/5/2020 8:55,0,Dept 17,933
27/5/2020 9:19,0,Dept 17,933
26/5/2020 8:38,1,NA,1001
27/5/2020 8:31,1,NA,1001
27/5/2020 8:21,0,Dept 2,1075
27/5/2020 9:55,1,NA,1101
28/5/2020 9:59,1,NA,1101
29/5/2020 9:45,1,NA,1101
28/5/2020 9:36,0,Dept 8,1235
29/5/2020 8:17,0,Dept 18,1261
27/5/2020 8:29,0,Dept 18,1261
26/5/2020 8:14,0,Dept 18,1261
28/5/2020 8:16,0,Dept 18,1261
28/5/2020 7:25,0,Dept 2,1266
29/5/2020 7:58,0,Dept 2,1266
27/5/2020 8:20,0,Dept 2,1266
30/5/2020 8:04,0,Dept 2,1266
27/5/2020 9:25,0,Dept 1,1349
26/5/2020 9:27,0,Dept 1,1349
28/5/2020 9:38,0,Dept 1,1349
29/5/2020 9:32,0,Dept 1,1349
26/5/2020 7:19,0,Dept 5,1404
25/5/2020 7:21,0,Dept 5,1404
30/5/2020 7:47,0,Dept 5,1404
28/5/2020 7:20,0,Dept 5,1404
29/5/2020 7:19,0,Dept 5,1404
28/5/2020 9:42,0,Dept 11,1535
26/5/2020 10:07,0,Dept 11,1535
26/5/2020 8:22,1,NA,1606
27/5/2020 8:55,1,NA,1606
28/5/2020 9:07,1,NA,1606
29/5/2020 9:01,1,NA,1606
26/5/2020 9:18,1,NA,1681
28/5/2020 9:33,1,NA,1681
26/5/2020 9:33,1,NA,1682
28/5/2020 9:44,1,NA,1682
26/5/2020 9:41,1,NA,1683
28/5/2020 9:48,1,NA,1683
26/5/2020 10:12,1,NA,1684
28/5/2020 9:55,1,NA,1684
26/5/2020 10:12,1,NA,1685
28/5/2020 9:25,1,NA,1692
26/5/2020 7:39,0,Dept 18,1742
