When,Profile,Dept,CardNum
2/5/2020 10:19,0,Dept 4,1701
27/4/2020 9:03,0,Dept 4,1701
28/4/2020 8:17,0,Dept 4,1701
1/5/2020 8:22,0,Dept 4,1701
3/5/2020 10:23,0,Dept 4,1701
29/4/2020 9:39,0,Dept 4,1701
30/4/2020 7:39,2,NA,3501
2/5/2020 7:43,2,NA,3501
1/5/2020 7:42,2,NA,3501
3/5/2020 9:16,2,NA,3501
28/4/2020 7:35,1,NA,3801
27/4/2020 7:45,1,NA,5301
29/4/2020 7:38,1,NA,5301
27/4/2020 7:29,1,NA,5601
28/4/2020 7:02,1,NA,5601
2/5/2020 7:04,1,NA,5601
27/4/2020 7:15,1,NA,5701
30/4/2020 7:31,1,NA,5701
28/4/2020 7:04,1,NA,5701
1/5/2020 7:17,1,NA,5701
29/4/2020 7:13,1,NA,5701
2/5/2020 7:12,1,NA,5701
3/5/2020 9:47,1,NA,6001
2/5/2020 8:54,0,Dept 4,6202
28/4/2020 8:49,0,Dept 4,6202
3/5/2020 8:40,0,Dept 4,6202
29/4/2020 8:55,0,Dept 4,6202
30/4/2020 8:49,0,Dept 4,6202
28/4/2020 8:27,2,NA,6601
2/5/2020 8:14,2,NA,6601
30/4/2020 8:19,2,NA,6601
27/4/2020 7:25,1,NA,7201
29/4/2020 7:36,1,NA,7201
30/4/2020 7:32,1,NA,7301
28/4/2020 7:38,1,NA,7301
27/4/2020 7:54,1,NA,7401
28/4/2020 7:59,1,NA,7401
30/4/2020 8:15,1,NA,7401
2/5/2020 9:07,1,NA,7401
29/4/2020 8:18,1,NA,7401
27/4/2020 8:12,1,NA,8201
29/4/2020 8:07,1,NA,8201
29/4/2020 9:00,0,Dept 4,8402
2/5/2020 8:55,0,Dept 4,8402
3/5/2020 8:57,0,Dept 4,8402
30/4/2020 8:46,0,Dept 4,8402
28/4/2020 8:32,0,Dept 4,8402
1/5/2020 7:45,1,NA,8501
27/4/2020 7:01,2,NA,8901
3/5/2020 7:12,2,NA,8901
1/5/2020 7:05,2,NA,8901
29/4/2020 7:03,2,NA,8901
29/4/2020 9:27,0,Dept 10,9203
27/4/2020 7:09,1,NA,9401
29/4/2020 9:39,1,NA,9401
28/4/2020 7:18,1,NA,9401
30/4/2020 7:11,1,NA,9401
29/4/2020 7:58,0,Dept 4,9403
28/4/2020 8:29,0,Dept 4,9403
2/5/2020 7:33,0,Dept 4,9403
27/4/2020 8:27,0,Dept 4,9403
30/4/2020 9:30,0,Dept 4,9403
3/5/2020 7:46,0,Dept 4,9403
30/4/2020 7:41,2,NA,9801
29/4/2020 8:46,2,NA,9901
27/4/2020 8:36,2,NA,9901
1/5/2020 8:09,2,NA,9901
3/5/2020 8:43,2,NA,9901
30/4/2020 7:27,1,NA,10401
27/4/2020 7:14,1,NA,10501
30/4/2020 7:14,1,NA,10501
28/4/2020 7:16,1,NA,10501
2/5/2020 7:18,1,NA,10501
3/5/2020 7:10,1,NA,10501
1/5/2020 7:10,1,NA,10501
29/4/2020 7:20,1,NA,10501
2/5/2020 8:54,1,NA,11001
27/4/2020 8:28,1,NA,11001
30/4/2020 8:34,1,NA,11001
27/4/2020 7:31,0,Dept 4,11403
28/4/2020 7:27,0,Dept 4,11403
28/4/2020 8:08,1,NA,12101
30/4/2020 7:06,1,NA,12101
29/4/2020 7:01,1,NA,12101
1/5/2020 8:16,1,NA,12101
3/5/2020 8:00,1,NA,12101
2/5/2020 7:00,1,NA,12101
28/4/2020 8:25,1,NA,12201
27/4/2020 8:25,1,NA,12201
29/4/2020 8:26,1,NA,12201
28/4/2020 7:06,1,NA,12601
30/4/2020 7:02,1,NA,12601
29/4/2020 7:07,1,NA,12601
29/4/2020 7:42,0,Dept 2,13474
28/4/2020 7:33,0,Dept 2,13474
27/4/2020 7:41,0,Dept 2,13474
30/4/2020 7:42,0,Dept 2,13474
27/4/2020 8:07,1,NA,14801
2/5/2020 8:41,1,NA,14801
30/4/2020 8:11,1,NA,14801
28/4/2020 8:10,1,NA,14801
29/4/2020 8:11,1,NA,14801
28/4/2020 8:25,1,NA,14901
29/4/2020 8:39,1,NA,14901
27/4/2020 8:07,1,NA,15001
28/4/2020 8:06,1,NA,15001
28/4/2020 8:07,1,NA,16001
27/4/2020 8:04,1,NA,16001
29/4/2020 8:08,1,NA,16001
2/5/2020 8:38,0,Dept 4,16704
29/4/2020 8:33,0,Dept 4,16704
30/4/2020 8:27,0,Dept 4,16704
27/4/2020 8:34,0,Dept 4,16704
1/5/2020 8:36,0,Dept 4,16704
28/4/2020 8:33,0,Dept 4,16704
29/4/2020 9:35,1,NA,21501
28/4/2020 9:30,1,NA,21501
3/5/2020 9:16,0,Dept 10,22602
30/4/2020 9:30,0,Dept 10,22602
27/4/2020 9:41,0,Dept 10,22602
30/4/2020 7:43,0,Dept 16,23002
28/4/2020 9:45,0,Dept 16,23002
29/4/2020 7:38,0,Dept 16,23002
29/4/2020 9:34,1,NA,23501
27/4/2020 8:53,1,NA,23501
28/4/2020 9:51,1,NA,23501
30/4/2020 9:53,1,NA,23501
27/4/2020 9:14,1,NA,24301
30/4/2020 8:14,1,NA,24301
1/5/2020 7:55,1,NA,24301
29/4/2020 8:01,1,NA,24301
27/4/2020 7:50,1,NA,25201
29/4/2020 7:52,1,NA,25201
27/4/2020 9:28,1,NA,25301
28/4/2020 9:05,1,NA,25301
30/4/2020 9:11,1,NA,25301
27/4/2020 8:11,1,NA,25601
27/4/2020 7:27,1,NA,25701
29/4/2020 7:12,1,NA,25701
27/4/2020 7:02,1,NA,25801
29/4/2020 7:01,1,NA,25801
27/4/2020 8:57,1,NA,27401
30/4/2020 8:56,1,NA,27401
28/4/2020 9:00,1,NA,27401
29/4/2020 9:02,1,NA,27401
28/4/2020 8:54,1,NA,29501
27/4/2020 8:23,1,NA,29501
30/4/2020 8:45,1,NA,29501
2/5/2020 8:43,1,NA,29601
30/4/2020 9:20,1,NA,29601
29/4/2020 9:23,1,NA,29601
27/4/2020 9:14,1,NA,29601
28/4/2020 9:11,1,NA,29601
27/4/2020 9:01,1,NA,29801
29/4/2020 8:53,1,NA,29801
28/4/2020 8:55,1,NA,29801
3/5/2020 9:34,0,Dept 4,30202
2/5/2020 9:28,0,Dept 4,30202
29/4/2020 8:46,0,Dept 4,30202
1/5/2020 8:12,0,Dept 4,30702
27/4/2020 8:00,0,Dept 4,30702
3/5/2020 8:12,0,Dept 4,30702
30/4/2020 9:20,0,Dept 4,32202
1/5/2020 9:26,0,Dept 4,32202
29/4/2020 9:30,0,Dept 4,32202
27/4/2020 7:57,0,Dept 4,32202
3/5/2020 9:24,0,Dept 4,32202
2/5/2020 8:25,0,Dept 4,33004
1/5/2020 8:35,0,Dept 4,33004
28/4/2020 8:16,0,Dept 4,33004
