When,Profile,Dept,CardNum
12/6/2020 10:04,1,NA,1101
9/6/2020 10:07,1,NA,1101
10/6/2020 10:03,1,NA,1101
11/6/2020 10:04,1,NA,1101
12/6/2020 9:09,0,Dept 11,1502
10/6/2020 8:53,0,Dept 11,1502
9/6/2020 8:11,1,NA,2701
10/6/2020 7:41,1,NA,2701
11/6/2020 8:13,1,NA,2701
12/6/2020 8:08,1,NA,2701
9/6/2020 8:15,1,NA,3701
10/6/2020 8:28,1,NA,3701
11/6/2020 8:08,1,NA,3701
12/6/2020 8:15,0,Dept 5,3802
11/6/2020 10:29,1,NA,4601
9/6/2020 7:33,2,NA,4601
10/6/2020 7:37,2,NA,4601
11/6/2020 7:34,2,NA,4601
12/6/2020 7:47,2,NA,4601
13/6/2020 7:58,2,NA,4601
9/6/2020 7:43,2,NA,4701
10/6/2020 7:39,2,NA,4701
11/6/2020 7:39,2,NA,4701
12/6/2020 7:53,2,NA,4701
9/6/2020 7:38,1,NA,5001
10/6/2020 7:43,1,NA,5001
11/6/2020 7:36,1,NA,5001
12/6/2020 7:34,1,NA,5001
9/6/2020 7:51,2,NA,5101
10/6/2020 7:51,2,NA,5101
11/6/2020 7:48,2,NA,5101
12/6/2020 7:59,2,NA,5101
9/6/2020 7:15,1,NA,5201
10/6/2020 7:08,1,NA,5201
11/6/2020 7:18,1,NA,5201
12/6/2020 7:04,1,NA,5201
13/6/2020 7:45,1,NA,5201
9/6/2020 7:53,2,NA,5301
10/6/2020 7:54,2,NA,5301
11/6/2020 7:52,2,NA,5301
12/6/2020 8:00,2,NA,5301
9/6/2020 7:55,2,NA,5801
10/6/2020 7:55,2,NA,5801
11/6/2020 7:56,2,NA,5801
12/6/2020 8:01,2,NA,5801
9/6/2020 8:02,2,NA,6201
10/6/2020 7:56,2,NA,6201
11/6/2020 8:05,2,NA,6201
12/6/2020 8:02,2,NA,6201
9/6/2020 8:06,2,NA,6301
10/6/2020 8:01,2,NA,6301
11/6/2020 8:07,2,NA,6301
12/6/2020 8:07,2,NA,6301
9/6/2020 8:15,1,NA,6501
10/6/2020 8:13,1,NA,6501
11/6/2020 8:17,1,NA,6501
12/6/2020 8:14,1,NA,6501
9/6/2020 8:18,1,NA,7501
13/6/2020 8:41,1,NA,7501
10/6/2020 8:13,1,NA,7501
11/6/2020 8:21,1,NA,7501
12/6/2020 8:25,1,NA,7501
9/6/2020 8:38,1,NA,8601
10/6/2020 8:47,1,NA,8601
11/6/2020 8:37,1,NA,8601
12/6/2020 8:38,1,NA,8601
9/6/2020 7:32,1,NA,11101
10/6/2020 7:42,1,NA,11101
11/6/2020 7:31,1,NA,11101
12/6/2020 7:34,1,NA,11101
